nivel_id,nivel_nombre,t_min_medio_ponderado,poblacion_con_acceso,poblacion_sin_acceso_enrutable,pct_poblacion_con_acceso,n_puntos
1604,MARISCAL RAMON CASTILLA,4191.547581208543,79978.37799936438,0.0,100.0,115
1608,PUTUMAYO,812.6922141059,5430.82843137255,0.0,100.0,42
1603,LORETO,768.1931527528957,35345.87927927928,5291.488888888888,86.98,116
1605,REQUENA,609.0026448951718,44601.5716374269,0.0,100.0,98
1607,DATEM DEL MARAÑON,447.1959324088488,19050.64846880131,43394.286190476196,30.51,165
2003,HUANCABAMBA,154.622391093439,110761.87187198766,0.0,100.0,227
1606,UCAYALI,149.39461549127066,32629.74835164835,0.0,100.0,80
0509,SUCRE,142.10122912526668,10531.528132992327,0.0,100.0,123
0508,PAUCAR DEL SARA SARA,133.76302400759926,8319.951587301588,0.0,100.0,80
0506,LUCANAS,124.13470003618463,38006.781024646094,0.0,100.0,877
2002,AYABACA,120.02850125374,131746.78519813519,0.0,100.0,295
0503,HUANCA SANCOS,104.0555457494208,4529.819121703631,0.0,100.0,225
0511,VILCAS HUAMAN,84.05530357301184,15487.73994962153,0.0,100.0,102
0502,CANGALLO,83.04527971015645,19332.467364555396,0.0,100.0,215
0510,VICTOR FAJARDO,75.13103961394481,15736.954330886505,0.0,100.0,249
1601,MAYNAS,68.12752414458829,90665.58412721787,0.0,100.0,262
0501,HUAMANGA,55.45483288277161,72554.74693084694,0.0,100.0,294
0507,PARINACOCHAS,53.66855173060109,10760.204916837549,0.0,100.0,304
0504,HUANTA,48.70406994400182,52753.711699652995,0.0,100.0,209
2008,SECHURA,47.40205099009187,159751.08939393942,0.0,100.0,42
2004,MORROPON,47.346206228581835,129239.44927849929,0.0,100.0,138
1602,ALTO AMAZONAS,47.19426429415753,300604.1579961381,1125.0,99.63,146
0505,LA MAR,37.55683125350929,80361.79907407408,0.0,100.0,189
2007,TALARA,16.19246019815921,15362.161538461538,0.0,100.0,47
2005,PAITA,6.565289209572223,358684.2916666666,0.0,100.0,32
2006,SULLANA,5.639101732534771,691105.8759440561,0.0,100.0,136
2001,PIURA,5.625655896957734,1357053.8537488875,0.0,100.0,194
