DEP,dist_recta_km,distancia_km,duracion_min,factor_desvio,velocidad_kmh
AYACUCHO,1365.8462,1713.762,1557.1783,1.2547,66.0334
PIURA,84.7451,109.0149,124.8117,1.2864,52.4061
AYACUCHO,171.447,382.8877,355.1083,2.2333,64.6937
AYACUCHO,1102.0657,1645.6122,1496.1867,1.4932,65.9923
LORETO,714.8083,1495.782,1368.2233,2.0926,65.5938
AYACUCHO,76.5267,122.8514,150.5867,1.6053,48.9491
LORETO,424.8099,667.2975,480.5517,1.5708,83.3164
LORETO,1126.3891,2025.4922,13656.48,1.7982,8.899
PIURA,141.1249,206.9678,214.5983,1.4666,57.8666
LORETO,38.878,36.2633,56.0933,0.9327,38.7889
LORETO,380.7642,652.494,478.5367,1.7136,81.8112
AYACUCHO,1116.9265,1528.4166,1389.1883,1.3684,66.0134
AYACUCHO,1223.4478,1652.4572,1500.35,1.3507,66.0829
AYACUCHO,1147.2605,1556.4461,1404.4383,1.3567,66.494
LORETO,541.0017,1114.9548,2535.82,2.0609,26.3809
AYACUCHO,1147.1681,1531.4702,1380.7,1.335,66.5519
AYACUCHO,1053.1276,2038.4634,9443.1817,1.9356,12.952
LORETO,154.188,100.4531,133.33,0.6515,45.205
AYACUCHO,1002.1131,2027.419,9402.5567,2.0231,12.9375
AYACUCHO,1316.066,1692.4864,1533.515,1.286,66.2199
AYACUCHO,1333.4911,1696.4234,1557.1967,1.2722,65.3645
PIURA,872.2269,1709.2744,8900.885,1.9597,11.5221
AYACUCHO,1210.6358,2328.2984,9614.2283,1.9232,14.5303
LORETO,788.8427,1526.1931,2348.9967,1.9347,38.9833
PIURA,427.0234,1060.8162,921.705,2.4842,69.0557
PIURA,127.6343,161.1846,160.9733,1.2629,60.0787
AYACUCHO,1217.2231,1480.2792,1398.4433,1.2161,63.5112
LORETO,48.4787,55.3206,85.2983,1.1411,38.9133
AYACUCHO,1141.2787,1499.1712,1356.2317,1.3136,66.3237
AYACUCHO,1187.0623,2302.496,9641.2283,1.9397,14.3291
AYACUCHO,129.7546,234.4894,342.9933,1.8072,41.0194
LORETO,624.5902,1405.2065,1288.235,2.2498,65.448
LORETO,883.8611,1583.7339,8725.9633,1.7918,10.8898
LORETO,665.3963,1245.4261,1340.6833,1.8717,55.7369
AYACUCHO,1154.5236,2220.2172,9630.9733,1.9231,13.8317
AYACUCHO,1130.4291,2167.5324,9568.0633,1.9174,13.5923
AYACUCHO,177.0784,352.5445,430.82,1.9909,49.0986
AYACUCHO,1188.7673,2248.011,9568.0433,1.891,14.097
AYACUCHO,1111.6337,2109.7496,9477.3017,1.8979,13.3566
AYACUCHO,1188.4339,1376.6094,1290.9417,1.1583,63.9816
LORETO,1098.23,2145.7544,11509.6383,1.9538,11.1859
AYACUCHO,1372.4064,1768.1678,1603.78,1.2884,66.15
PIURA,724.3708,1358.5222,8607.9083,1.8755,9.4694
AYACUCHO,1305.2814,1665.8448,1538.4067,1.2762,64.9703
AYACUCHO,1169.6112,1534.8646,1393.66,1.3123,66.0792
AYACUCHO,1011.8855,2156.127,9502.3317,2.1308,13.6143
PIURA,442.6712,994.2194,878.3667,2.246,67.9137
PIURA,1171.1383,1563.6555,1475.1583,1.3352,63.5995
AYACUCHO,1175.1058,1448.052,1354.9833,1.2323,64.1212
AYACUCHO,1170.126,1440.7795,1350.115,1.2313,64.0292
LORETO,493.8773,953.1876,797.9283,1.93,71.6747
PIURA,772.46,1547.6781,8750.7217,2.0036,10.6118
AYACUCHO,1229.624,1671.3575,1525.8567,1.3592,65.7214
PIURA,1046.5722,1582.5215,1491.6517,1.5121,63.6551
PIURA,88.8914,129.2695,147.335,1.4542,52.6431
AYACUCHO,1279.1313,1739.0524,1623.3283,1.3596,64.2773
AYACUCHO,41.9317,138.1149,123.2733,3.2938,67.2237
AYACUCHO,159.6297,374.4294,405.0233,2.3456,55.4678
AYACUCHO,1109.991,2140.9292,9521.455,1.9288,13.4912
LORETO,1092.3289,1800.8174,10957.685,1.6486,9.8606
AYACUCHO,1209.508,1445.8148,1374.8033,1.1954,63.0991
AYACUCHO,1201.9797,1611.021,1469.495,1.3403,65.7786
AYACUCHO,1135.1036,1462.0878,1364.6833,1.2881,64.2825
AYACUCHO,54.0605,128.8463,151.8333,2.3834,50.9162
PIURA,371.9375,753.7609,701.775,2.0266,64.4447
AYACUCHO,100.0232,186.9498,205.4483,1.8691,54.5976
AYACUCHO,1403.3468,1722.1132,1605.0617,1.2271,64.3756
AYACUCHO,1340.9014,1684.1536,1601.425,1.256,63.0996
AYACUCHO,1191.0462,1744.4836,1622.0467,1.4647,64.529
LORETO,744.6526,1342.393,1409.5933,1.8027,57.1396
PIURA,138.3814,251.8952,283.7967,1.8203,53.2554
AYACUCHO,1259.7498,1545.0225,1443.6383,1.2265,64.2137
AYACUCHO,56.9883,112.4074,120.1017,1.9725,56.1561
AYACUCHO,1128.5527,1512.5035,1347.2367,1.3402,67.3603
AYACUCHO,1234.7145,1521.7408,1461.7033,1.2325,62.4644
AYACUCHO,1246.3164,2548.9782,9788.33,2.0452,15.6246
PIURA,836.2102,1581.0454,8770.7933,1.8907,10.8158
AYACUCHO,1227.3516,1680.5184,1545.8,1.3692,65.2291
LORETO,545.6094,1056.0076,2468.985,1.9355,25.6626
LORETO,680.1383,1459.0196,1336.3433,2.1452,65.508
PIURA,148.3979,321.4735,237.8033,2.1663,81.1108
AYACUCHO,1191.0378,1566.1622,1431.4683,1.315,65.6457
PIURA,114.8212,203.5484,180.9983,1.7727,67.4752
AYACUCHO,1185.2554,1518.6995,1479.9833,1.2813,61.5696
AYACUCHO,1296.142,1693.525,1538.6083,1.3066,66.0412
AYACUCHO,1247.1543,1660.1641,1522.5,1.3312,65.4252
PIURA,707.8266,1404.3201,8745.7067,1.984,9.6344
AYACUCHO,1445.4822,1875.5284,1716.7633,1.2975,65.5488
PIURA,755.504,1573.0428,1491.115,2.0821,63.2966
AYACUCHO,1229.1662,1774.7488,1636.2617,1.4439,65.0782
AYACUCHO,1349.6722,1764.0912,1615.4933,1.3071,65.519
PIURA,116.6584,174.4012,173.6167,1.495,60.2711
AYACUCHO,139.2916,255.9614,366.7783,1.8376,41.8718
AYACUCHO,1446.2732,1882.4062,1753.8133,1.3016,64.3993
AYACUCHO,63.114,107.553,141.5233,1.7041,45.598
AYACUCHO,1110.0481,1469.5982,1332.2383,1.3239,66.1863
AYACUCHO,1230.5392,1673.6265,1526.91,1.3601,65.7652
LORETO,422.1698,662.3191,473.9867,1.5688,83.8402
AYACUCHO,20.7785,42.8336,72.5083,2.0614,35.4444
LORETO,709.2247,1684.4076,8851.075,2.375,11.4183
AYACUCHO,1265.3338,1711.6968,1598.365,1.3528,64.2543
AYACUCHO,1131.8863,2176.7592,9541.275,1.9231,13.6885
AYACUCHO,1148.1288,1466.8368,1322.5517,1.2776,66.5458
LORETO,480.8413,789.79,672.9917,1.6425,70.4131
AYACUCHO,1182.2428,1681.9994,1555.5767,1.4227,64.8762
AYACUCHO,56.5882,220.9618,264.7033,3.9047,50.0852
AYACUCHO,156.0843,309.0957,384.5633,1.9803,48.2255
AYACUCHO,1193.9029,1479.5875,1428.835,1.2393,62.1312
AYACUCHO,37.3793,75.1491,87.3317,2.0104,51.6301
LORETO,422.2808,726.0213,8053.2517,1.7193,5.4092
PIURA,107.5875,172.1267,134.4933,1.5999,76.789
LORETO,720.7795,1677.775,8848.44,2.3277,11.3768
LORETO,619.3559,1071.7186,2489.6683,1.7304,25.828
AYACUCHO,1148.7691,1576.7602,1452.5417,1.3726,65.1311
AYACUCHO,1295.933,1584.3818,1464.1667,1.2226,64.9263
AYACUCHO,195.5494,429.2624,478.5317,2.1952,53.8224
PIURA,448.6058,982.8619,880.9267,2.1909,66.9428
PIURA,722.663,1714.8754,8875.3283,2.373,11.5931
AYACUCHO,1381.0581,2469.9738,9739.98,1.7885,15.2155
LORETO,622.0065,933.0518,798.5267,1.5001,70.108
AYACUCHO,78.4068,140.9976,128.3867,1.7983,65.8936
AYACUCHO,1208.3843,1541.9685,1497.1617,1.2761,61.7957
AYACUCHO,30.8964,58.8481,86.28,1.9047,40.9236
PIURA,163.5505,287.0484,212.6383,1.7551,80.9962
AYACUCHO,204.9416,454.3114,522.0833,2.2168,52.2114
PIURA,725.5121,1445.212,8810.1317,1.992,9.8424
AYACUCHO,1225.6592,1575.6798,1445.7333,1.2856,65.393
AYACUCHO,208.3006,490.7983,499.1583,2.3562,58.9951
AYACUCHO,1269.3147,1554.3958,1442.9633,1.2246,64.6335
AYACUCHO,1221.2111,1549.17,1492.8733,1.2686,62.2626
AYACUCHO,1123.7823,1734.2336,1570.5967,1.5432,66.2513
PIURA,1114.8709,1600.6142,1485.8433,1.4357,64.6346
AYACUCHO,1132.8043,1481.7572,1326.215,1.308,67.037
LORETO,113.3027,100.927,126.6383,0.8908,47.8182
AYACUCHO,1282.0303,2506.5532,9740.4067,1.9551,15.4401
AYACUCHO,911.0123,1468.5348,1542.8783,1.612,57.1089
AYACUCHO,76.8624,138.8149,192.2917,1.806,43.3139
LORETO,637.7077,1100.7045,2518.2167,1.726,26.2258
AYACUCHO,1234.2632,1596.3736,1476.22,1.2934,64.8836
PIURA,3.7691,5.6838,8.605,1.508,39.6314
AYACUCHO,248.9707,504.8675,470.5617,2.0278,64.3742
LORETO,330.4432,545.3073,6289.2667,1.6502,5.2023
PIURA,1070.8316,1634.0302,1547.825,1.5259,63.3417
LORETO,992.8606,2299.608,11654.6933,2.3161,11.8387
AYACUCHO,1230.128,2397.3816,9681.775,1.9489,14.8571
LORETO,254.9153,770.7158,8101.9017,3.0234,5.7077
PIURA,408.7686,873.8146,888.83,2.1377,58.9864
PIURA,1035.3399,1618.384,1531.1617,1.5631,63.4179
LORETO,524.0501,989.1018,1613.8783,1.8874,36.7724
AYACUCHO,185.9142,349.448,320.46,1.8796,65.4274
PIURA,84.7009,116.4207,114.865,1.3745,60.8126
PIURA,447.1961,885.7114,789.5617,1.9806,67.3066
PIURA,1163.0421,1729.4778,1604.6133,1.487,64.669
LORETO,315.5363,620.8718,444.695,1.9677,83.7705
AYACUCHO,152.6185,299.6032,301.0083,1.9631,59.7199
AYACUCHO,1261.0853,1518.7038,1427.5583,1.2043,63.8308
AYACUCHO,1192.0128,1740.586,1638.3233,1.4602,63.7451
PIURA,245.9295,354.4758,286.255,1.4414,74.2993
LORETO,1054.7357,1902.7844,12581.0833,1.804,9.0745
AYACUCHO,1066.6119,2260.0348,9690.2517,2.1189,13.9937
PIURA,129.858,273.9122,197.9117,2.1093,83.0407
PIURA,743.3032,1570.3602,8796.4017,2.1127,10.7114
LORETO,1128.8297,2465.66,9763.2517,2.1843,15.1527
PIURA,1148.5037,1719.7884,1596.41,1.4974,64.6371
AYACUCHO,1324.8114,1638.9449,1544.1633,1.2371,63.6828
PIURA,115.955,229.9295,175.81,1.9829,78.4698
PIURA,1091.2018,1597.6485,1511.1817,1.4641,63.4331
AYACUCHO,1281.8102,1667.9028,1511.4817,1.3012,66.2093
LORETO,1022.6671,1579.4589,3226.3717,1.5445,29.3728
AYACUCHO,1322.8101,1654.987,1520.8467,1.2511,65.2921
AYACUCHO,220.7255,432.8797,468.8317,1.9612,55.3989
LORETO,430.5841,779.6136,589.96,1.8106,79.2881
AYACUCHO,1205.1533,1477.9222,1376.32,1.2263,64.4293
AYACUCHO,1213.2977,1618.2802,1455.2517,1.3338,66.7217
LORETO,1002.6287,1799.7412,10952.8667,1.795,9.859
AYACUCHO,1129.9238,1524.34,1373.6817,1.3491,66.5805
AYACUCHO,1361.2082,1728.4804,1569.605,1.2698,66.0732
AYACUCHO,1223.3718,1707.7024,1566.3267,1.3959,65.4156
AYACUCHO,1152.2762,1601.348,1485.3583,1.3897,64.6853
LORETO,18.5516,18.6188,27.9367,1.0036,39.9879
AYACUCHO,1238.3643,1469.2278,1412.125,1.1864,62.4262
AYACUCHO,1261.0075,1683.212,1549.5233,1.3348,65.1766
AYACUCHO,1286.4423,1675.3876,1528.7833,1.3023,65.7538
AYACUCHO,72.4821,227.5532,317.785,3.1394,42.9636
AYACUCHO,58.6567,90.8013,104.485,1.548,52.1422
LORETO,648.9215,1067.0654,2487.0133,1.6444,25.7433
AYACUCHO,1175.2134,1577.4552,1447.67,1.3423,65.3791
AYACUCHO,1248.5206,1638.4589,1501.2417,1.3123,65.4841
AYACUCHO,218.83,422.7186,508.1033,1.9317,49.9172
AYACUCHO,1325.9982,1669.4758,1533.3917,1.259,65.3248
PIURA,1143.7721,1655.2075,1565.6483,1.4471,63.4322
AYACUCHO,1184.6849,1574.1694,1431.0017,1.3288,66.0028
AYACUCHO,168.7785,371.9432,344.3117,2.2037,64.8151
AYACUCHO,1205.2417,1604.4586,1484.1267,1.3312,64.8648
LORETO,660.118,916.1548,768.9383,1.3879,71.4873
AYACUCHO,1030.9296,1751.0864,1834.8283,1.6986,57.2616
AYACUCHO,131.0161,284.1765,328.005,2.169,51.9827
AYACUCHO,1228.7792,1511.1825,1461.0083,1.2298,62.0605
AYACUCHO,1223.7378,1605.5232,1448.7667,1.312,66.492
AYACUCHO,1074.4941,2109.5576,9497.0033,1.9633,13.3277
AYACUCHO,1110.7646,1632.7216,1523.6233,1.4699,64.2963
PIURA,747.9678,1659.896,8838.0533,2.2192,11.2687
AYACUCHO,1077.993,1558.4545,1512.3933,1.4457,61.8273
AYACUCHO,31.7218,64.4883,99.1017,2.0329,39.0437
AYACUCHO,1135.872,2172.8652,9604.5083,1.9129,13.574
PIURA,738.4597,1513.923,8778.5983,2.0501,10.3474
PIURA,124.0,202.1535,208.82,1.6303,58.0845
LORETO,490.5764,954.482,797.5217,1.9456,71.8086
LORETO,112.9929,102.7508,130.8217,0.9094,47.1256
LORETO,472.7875,1471.2606,8691.6583,3.1119,10.1564
PIURA,72.4189,92.8864,88.595,1.2826,62.9063
LORETO,71.1542,56.9021,87.9217,0.7997,38.8315
AYACUCHO,45.0864,82.7019,112.38,1.8343,44.1548
LORETO,588.5845,911.2258,1076.33,1.5482,50.7963
AYACUCHO,1128.7623,1747.5438,1586.5467,1.5482,66.0886
AYACUCHO,87.2419,143.1918,130.625,1.6413,65.7723
AYACUCHO,101.3971,211.3131,293.345,2.084,43.2214
AYACUCHO,1244.6985,1706.366,1535.6467,1.3709,66.6703
AYACUCHO,22.4994,95.3479,128.605,4.2378,44.4841
LORETO,1125.6704,2469.2024,9762.565,2.1935,15.1755
AYACUCHO,1116.1636,1566.5229,1522.7983,1.4035,61.7228
AYACUCHO,1118.0239,2132.843,9536.345,1.9077,13.4192
AYACUCHO,127.5936,283.4699,326.3767,2.2217,52.1122
AYACUCHO,1180.8173,2244.2676,9607.5183,1.9006,14.0157
AYACUCHO,1236.8553,1556.5268,1503.5817,1.2585,62.1128
LORETO,1166.9269,2032.7838,13674.115,1.742,8.9196
PIURA,13.6142,17.2501,21.19,1.2671,48.8441
AYACUCHO,1177.4792,1543.9032,1383.085,1.3112,66.9765
AYACUCHO,1240.0984,1700.4416,1553.8217,1.3712,65.6617
LORETO,432.5122,681.1753,7992.6583,1.5749,5.1135
LORETO,620.041,1103.074,2521.27,1.779,26.2504
AYACUCHO,1243.7798,1620.6125,1474.0633,1.303,65.9651
AYACUCHO,1206.1778,1605.1108,1485.78,1.3307,64.8189
AYACUCHO,92.4498,217.0498,175.0733,2.3478,74.3859
LORETO,705.8402,1456.4941,1334.105,2.0635,65.5043
AYACUCHO,1090.7392,2034.98,9393.165,1.8657,12.9987
AYACUCHO,1156.0192,1772.9136,1608.6983,1.5336,66.1248
AYACUCHO,120.3171,208.2031,167.22,1.7305,74.7051
AYACUCHO,1313.5518,1682.899,1568.2317,1.2812,64.3871
PIURA,130.3707,215.8435,213.805,1.6556,60.5721
AYACUCHO,1193.589,1577.8948,1452.3433,1.322,65.1869
AYACUCHO,1150.9119,1533.5305,1387.6967,1.3324,66.3054
AYACUCHO,1203.0821,1432.332,1358.98,1.1906,63.2385
AYACUCHO,1187.3737,1468.6328,1415.3483,1.2369,62.2589
AYACUCHO,1450.3125,1900.299,1781.2817,1.3103,64.0089
AYACUCHO,1052.4489,2062.1176,9462.25,1.9594,13.0759
AYACUCHO,1153.0715,1504.3818,1360.09,1.3047,66.3654
PIURA,806.5072,1587.006,8781.535,1.9678,10.8432
AYACUCHO,1190.8933,1873.282,1729.1017,1.573,65.0031
AYACUCHO,1217.8518,1573.3902,1531.3783,1.2919,61.646
AYACUCHO,853.4925,1325.519,1537.4333,1.5531,51.7298
AYACUCHO,1318.7213,1700.3092,1558.6133,1.2894,65.4547
LORETO,715.7205,1628.2892,8765.8983,2.275,11.1452
AYACUCHO,1187.3191,2284.284,9596.6167,1.9239,14.2818
PIURA,102.1726,131.9556,122.1517,1.2915,64.8156
AYACUCHO,75.6311,131.2833,173.3333,1.7358,45.4442
AYACUCHO,1218.3619,1627.2675,1458.3483,1.3356,66.9497
PIURA,750.9217,1624.4469,8861.9283,2.1633,10.9984
AYACUCHO,1265.2861,1611.4878,1481.1333,1.2736,65.2806
LORETO,123.2543,16.7899,23.4933,0.1362,42.88
PIURA,113.7979,176.5782,155.41,1.5517,68.1725
AYACUCHO,47.6327,101.0586,150.3033,2.1216,40.3419
LORETO,893.2726,1496.7134,3128.915,1.6755,28.7009
AYACUCHO,950.3316,1590.2942,1667.855,1.6734,57.2098
LORETO,626.1819,917.4994,770.17,1.4652,71.4777
AYACUCHO,1415.7309,1913.6624,1759.7883,1.3517,65.2463
AYACUCHO,1092.7045,1618.6195,1469.9567,1.4813,66.068
AYACUCHO,1057.2946,1732.0818,1706.2733,1.6382,60.9075
AYACUCHO,81.857,171.7764,204.8167,2.0985,50.321
AYACUCHO,1146.4079,1775.4592,1606.84,1.5487,66.2963
AYACUCHO,102.1937,176.813,182.5817,1.7302,58.1043
PIURA,130.7974,261.1688,217.1217,1.9967,72.1721
AYACUCHO,1275.1901,1696.0496,1574.2383,1.33,64.6427
AYACUCHO,1139.3499,1497.4746,1398.4717,1.3143,64.2476
AYACUCHO,1134.0268,1435.3518,1340.3233,1.2657,64.254
LORETO,761.0321,1718.17,8878.5633,2.2577,11.6111
PIURA,1092.9848,1653.1622,1546.6017,1.5125,64.134
PIURA,726.2218,1437.172,8799.1267,1.979,9.7999
PIURA,38.6111,50.778,55.7533,1.3151,54.6457
PIURA,117.3248,150.8756,137.175,1.286,65.9926
AYACUCHO,1239.7806,1490.3285,1423.355,1.2021,62.8232
AYACUCHO,1255.3616,1494.1538,1398.9517,1.1902,64.0831
PIURA,1200.7595,1693.429,1556.035,1.4103,65.2978
AYACUCHO,1192.9983,1576.1372,1443.725,1.3212,65.5029
AYACUCHO,1224.0745,1649.5865,1484.7333,1.3476,66.6619
AYACUCHO,1211.3487,1631.2968,1476.9517,1.3467,66.2701
LORETO,677.2314,1714.6934,8879.505,2.5319,11.5864
PIURA,101.082,147.9448,147.7767,1.4636,60.0683
AYACUCHO,1138.1179,1539.1504,1379.4483,1.3524,66.9463
AYACUCHO,1221.5337,1411.8758,1313.88,1.1558,64.4751
AYACUCHO,1245.2352,1685.3064,1521.4,1.3534,66.464
LORETO,916.6853,2130.2528,9527.2833,2.3239,13.4157
AYACUCHO,1288.7425,1603.6975,1494.2383,1.2444,64.3952
AYACUCHO,1271.7371,1726.2774,1565.6083,1.3574,66.1574
AYACUCHO,1238.464,2239.3656,9543.335,1.8082,14.0791
AYACUCHO,196.1318,416.0603,391.4933,2.1213,63.7651
AYACUCHO,1174.0562,1442.045,1344.5333,1.2283,64.3515
AYACUCHO,1318.0176,1715.501,1595.06,1.3016,64.5305
AYACUCHO,183.4624,390.7753,380.565,2.13,61.6098
AYACUCHO,198.5349,427.3699,356.795,2.1526,71.8681
LORETO,666.1516,1450.8904,1326.225,2.178,65.64
AYACUCHO,129.9755,286.3349,279.445,2.203,61.4793
AYACUCHO,1120.2839,2150.8064,9528.3667,1.9199,13.5436
PIURA,91.4012,117.3287,113.5717,1.2837,61.9848
LORETO,543.3771,1059.4601,2475.3417,1.9498,25.6803
AYACUCHO,982.8256,1683.3928,1672.7583,1.7128,60.3814
PIURA,402.3538,890.4121,918.765,2.213,58.1484
LORETO,107.615,103.9959,132.6433,0.9664,47.0416
AYACUCHO,1286.5235,1560.0156,1502.42,1.2126,62.3001
AYACUCHO,1234.0242,1663.2732,1497.6633,1.3478,66.6347
LORETO,965.0336,1760.7884,10917.2117,1.8246,9.6771
AYACUCHO,1132.8296,1471.3365,1346.7433,1.2988,65.5509
AYACUCHO,1325.751,2293.93,9606.74,1.7303,14.327
AYACUCHO,151.5178,330.6624,386.0967,2.1823,51.3854
LORETO,12.768,12.5478,20.5417,0.9828,36.6508
PIURA,1337.5385,1827.0062,1626.1067,1.3659,67.4128
AYACUCHO,1117.9596,2142.2236,9506.8733,1.9162,13.5201
LORETO,94.895,187.2826,2208.8217,1.9736,5.0873
AYACUCHO,1165.9512,1531.9728,1395.0083,1.3139,65.8909
AYACUCHO,145.2777,307.2393,347.3,2.1148,53.0791
AYACUCHO,1167.1789,1583.6848,1424.59,1.3568,66.7007
AYACUCHO,1381.2035,1816.2258,1695.225,1.315,64.2826
LORETO,35.9706,55.3206,85.2983,1.5379,38.9133
AYACUCHO,1243.4065,1654.747,1520.5467,1.3308,65.2955
AYACUCHO,1340.1971,1708.8196,1585.3317,1.2751,64.6736
AYACUCHO,1198.9365,1578.3868,1435.6183,1.3165,65.9668
PIURA,17.5961,22.3451,24.2133,1.2699,55.3706
AYACUCHO,1158.3294,2224.6652,9667.635,1.9206,13.8069
PIURA,64.6842,75.5845,72.9683,1.1685,62.1512
AYACUCHO,1111.8501,1425.5608,1293.145,1.2822,66.1439
AYACUCHO,932.9039,1561.113,1641.0667,1.6734,57.0768
AYACUCHO,1104.8521,1399.794,1261.9933,1.267,66.5516
AYACUCHO,183.679,430.3876,428.815,2.3432,60.22
AYACUCHO,1189.0023,2264.3416,9643.64,1.9044,14.0881
LORETO,512.2009,905.2794,743.9133,1.7674,73.0149
LORETO,681.4098,1105.9975,2521.9617,1.6231,26.3128
LORETO,711.9769,1676.1832,8845.0733,2.3543,11.3703
AYACUCHO,1275.4537,1572.2042,1465.5567,1.2327,64.3662
AYACUCHO,1290.479,1591.4212,1463.4,1.2332,65.2489
AYACUCHO,895.6449,1481.986,1608.255,1.6547,55.2892
PIURA,153.9579,289.2679,319.8033,1.8789,54.2711
LORETO,977.5708,1904.4032,12583.0933,1.9481,9.0808
AYACUCHO,103.1888,190.039,221.96,1.8417,51.3711
AYACUCHO,1349.6896,1783.9402,1649.425,1.3217,64.8932
PIURA,1081.3589,1615.356,1523.9333,1.4938,63.5995
LORETO,671.3134,1067.6555,2487.935,1.5904,25.748
LORETO,708.6171,1519.401,8842.24,2.1442,10.3101
LORETO,841.6497,1618.1268,8754.79,1.9226,11.0897
AYACUCHO,1143.9407,1507.641,1370.16,1.3179,66.0204
AYACUCHO,864.2382,1447.7152,1598.1517,1.6751,54.3521
AYACUCHO,1272.6106,1530.1754,1444.9267,1.2024,63.5399
AYACUCHO,1247.8623,1582.4604,1524.7583,1.2681,62.2706
AYACUCHO,1282.2937,1554.526,1472.0333,1.2123,63.3624
AYACUCHO,1109.2941,1724.7776,1574.9517,1.5548,65.7078
AYACUCHO,1244.7089,1536.9132,1477.32,1.2348,62.4203
LORETO,238.6976,327.5757,3868.8083,1.3723,5.0803
PIURA,32.3698,37.5019,33.355,1.1585,67.4596
LORETO,854.9032,1579.9798,8717.0217,1.8481,10.8751
LORETO,985.2308,2108.8056,9440.7667,2.1404,13.4023
AYACUCHO,1265.9386,1722.5538,1584.7333,1.3607,65.2181
AYACUCHO,1310.6353,1549.0879,1480.7167,1.1819,62.7705
LORETO,1004.6773,1764.5774,10927.425,1.7564,9.6889
PIURA,82.726,110.6544,135.8083,1.3376,48.887
LORETO,957.2305,1799.373,10951.8217,1.8798,9.8579
LORETO,31.8832,17.6749,25.5583,0.5544,41.4931
PIURA,74.5496,231.6987,181.2833,3.108,76.6862
AYACUCHO,1129.4018,2159.1364,9551.0717,1.9118,13.5637
AYACUCHO,1198.7911,1852.1124,1695.7,1.545,65.5344
AYACUCHO,651.3914,906.1109,1094.3717,1.391,49.6784
LORETO,984.9099,1765.5042,10924.3833,1.7926,9.6967
AYACUCHO,847.4858,1372.6305,1440.4883,1.6197,57.1735
AYACUCHO,772.1456,1293.9092,1341.4417,1.6757,57.874
LORETO,984.1655,1765.5042,10924.3833,1.7939,9.6967
AYACUCHO,1446.8783,1831.7052,1673.0867,1.266,65.6884
AYACUCHO,1193.1416,1456.0414,1394.7217,1.2203,62.6379
PIURA,422.2281,900.5878,912.4717,2.1329,59.2186
PIURA,51.1975,67.7342,58.635,1.323,69.311
AYACUCHO,1054.8392,2017.8118,9390.4833,1.9129,12.8927
AYACUCHO,739.2156,1086.336,1266.8433,1.4696,51.4508
AYACUCHO,30.5945,69.6041,107.05,2.275,39.0121
AYACUCHO,1150.5486,1514.4216,1366.255,1.3163,66.5068
AYACUCHO,1318.0372,1659.5268,1579.7367,1.2591,63.0305
AYACUCHO,78.4973,244.9313,229.6983,3.1203,63.979
PIURA,766.214,1570.8745,8784.6667,2.0502,10.7292
AYACUCHO,47.6923,105.7469,149.885,2.2173,42.3312
LORETO,861.7806,1592.9158,8736.6767,1.8484,10.9395
AYACUCHO,1342.5242,1783.0482,1628.605,1.3281,65.6899
LORETO,828.4078,1591.297,8734.6667,1.9209,10.9309
AYACUCHO,1120.318,2136.3408,9512.845,1.9069,13.4745
AYACUCHO,1256.5587,1716.7588,1581.425,1.3662,65.1346
AYACUCHO,1196.6393,1538.3305,1502.87,1.2855,61.4157
AYACUCHO,1206.5792,1688.163,1537.605,1.3991,65.875
PIURA,788.0788,1617.1376,8817.6217,2.052,11.0039
AYACUCHO,1113.9374,1559.463,1509.0217,1.4,62.0056
AYACUCHO,1204.9643,1630.845,1475.7067,1.3534,66.3077
AYACUCHO,1191.7462,1493.0165,1441.5833,1.2528,62.1407
AYACUCHO,1193.4494,1454.446,1394.9333,1.2187,62.5598
AYACUCHO,1159.7537,1558.9555,1397.9417,1.3442,66.9108
LORETO,425.1334,681.6685,7991.0483,1.6034,5.1182
PIURA,102.9566,179.5237,196.1283,1.7437,54.9203
PIURA,112.8562,175.3594,152.6933,1.5538,68.9065
AYACUCHO,1136.3271,1495.0339,1394.7217,1.3157,64.3154
AYACUCHO,1220.2602,1465.135,1386.28,1.2007,63.4129
AYACUCHO,176.7224,342.5407,329.7667,1.9383,62.3242
AYACUCHO,1279.7264,1593.9871,1499.4167,1.2456,63.7843
LORETO,809.8366,1693.8222,8857.1283,2.0916,11.4743
LORETO,297.4997,418.2007,4925.2933,1.4057,5.0945
AYACUCHO,1191.2415,1452.1075,1385.1383,1.219,62.9009
PIURA,1099.5691,1751.1602,1588.7033,1.5926,66.1355
PIURA,1005.2435,1534.9334,1476.295,1.5269,62.3832
AYACUCHO,1233.9144,1687.3758,1561.66,1.3675,64.8301
PIURA,1325.1193,1656.8648,1483.3133,1.2504,67.0202
AYACUCHO,1220.9941,1633.4965,1516.3417,1.3378,64.6357
AYACUCHO,1141.7327,1542.5758,1385.07,1.3511,66.823
AYACUCHO,1127.5997,1451.8029,1329.1383,1.2875,65.5373
LORETO,1120.8442,1851.671,3401.9633,1.652,32.6577
AYACUCHO,1198.0445,1505.9858,1429.5767,1.257,63.2069
AYACUCHO,821.9333,1262.2262,1420.345,1.5357,53.3205
AYACUCHO,1258.0133,1590.6606,1516.3117,1.2644,62.942
AYACUCHO,1139.6479,1554.4798,1412.34,1.364,66.0385
LORETO,378.5679,651.1493,477.305,1.72,81.8532
AYACUCHO,1104.4719,1587.5032,1459.2417,1.4373,65.2738
