DEP,dist_recta_km,distancia_km,duracion_min,factor_desvio,velocidad_kmh
AYACUCHO,1117.4535,1437.3538,1289.6617,1.2863,66.8712
LORETO,869.1265,1591.2416,8737.28,1.8309,10.9273
PIURA,854.5344,1705.9846,8881.595,1.9964,11.5249
AYACUCHO,1310.0003,1678.1276,1556.8217,1.281,64.6751
AYACUCHO,1250.6916,1667.2739,1539.1,1.3331,64.9967
LORETO,927.6552,1497.5134,3126.085,1.6143,28.7423
PIURA,1083.0781,1879.6746,1715.57,1.7355,65.7394
AYACUCHO,128.4935,235.2657,266.2317,1.831,53.0213
AYACUCHO,1198.1751,1517.1292,1451.1767,1.2662,62.7269
LORETO,884.9577,1590.0782,8731.95,1.7968,10.9259
AYACUCHO,677.3131,918.5525,1105.1717,1.3562,49.8684
AYACUCHO,774.9536,1190.7006,1417.7083,1.5365,50.3926
AYACUCHO,1231.4689,1716.8932,1576.845,1.3942,65.3289
PIURA,134.8164,226.4995,181.9,1.6801,74.7112
AYACUCHO,1154.4774,1511.018,1366.07,1.3088,66.3664
AYACUCHO,1152.046,1608.0375,1491.0167,1.3958,64.709
PIURA,121.1977,202.0489,148.855,1.6671,81.4412
AYACUCHO,1143.0711,2239.0756,9602.0483,1.9588,13.9912
AYACUCHO,1309.9048,2306.456,9661.6417,1.7608,14.3234
AYACUCHO,1302.3582,1705.7012,1623.135,1.3097,63.0521
LORETO,1122.552,2001.9462,13641.3217,1.7834,8.8054
PIURA,416.1809,960.7261,896.085,2.3084,64.3282
AYACUCHO,13.7582,23.1796,35.48,1.6848,39.1989
LORETO,82.3068,18.6188,27.9367,0.2262,39.9879
LORETO,460.9581,938.0562,8278.2367,2.035,6.799
PIURA,17.8898,28.6307,30.31,1.6004,56.6758
LORETO,1071.4591,2444.7044,14322.67,2.2817,10.2413
AYACUCHO,1195.4205,1585.708,1438.87,1.3265,66.1231
AYACUCHO,1170.2173,1583.3528,1414.7417,1.353,67.1509
AYACUCHO,1255.4069,1775.5658,1658.2633,1.4143,64.2443
AYACUCHO,1323.1207,1733.0204,1632.98,1.3098,63.6757
AYACUCHO,1163.2914,1538.546,1396.1817,1.3226,66.118
LORETO,400.9704,658.827,471.9283,1.6431,83.7619
PIURA,93.7311,121.7647,123.5667,1.2991,59.125
AYACUCHO,1276.3562,1581.3549,1471.8433,1.239,64.4643
AYACUCHO,1041.5172,2179.731,9584.375,2.0928,13.6455
PIURA,132.6479,185.5935,164.9917,1.3991,67.492
PIURA,1061.2986,1682.5614,1597.6317,1.5854,63.1896
AYACUCHO,1267.9055,2647.088,9875.905,2.0878,16.0821
AYACUCHO,1137.415,1593.307,1481.0483,1.4008,64.5478
AYACUCHO,1133.0758,1537.2269,1379.1967,1.3567,66.8749
PIURA,147.2261,208.0842,176.0117,1.4134,70.9331
PIURA,127.8284,220.4208,167.4083,1.7243,78.9999
AYACUCHO,81.1837,184.6892,230.51,2.275,48.0732
AYACUCHO,160.3773,343.7393,320.3917,2.1433,64.3723
AYACUCHO,1304.0321,1658.6845,1553.8,1.272,64.0501
PIURA,125.4797,245.082,191.7867,1.9532,76.6733
AYACUCHO,1193.2882,1558.326,1410.8583,1.3059,66.2714
AYACUCHO,162.2398,346.3301,447.0333,2.1347,46.4838
PIURA,853.5322,1618.9051,8808.7567,1.8967,11.027
AYACUCHO,1137.2501,1598.3076,1488.4167,1.4054,64.4298
AYACUCHO,1145.153,2269.371,9605.4983,1.9817,14.1754
AYACUCHO,1315.0627,1598.7099,1510.945,1.2157,63.4852
AYACUCHO,198.5776,369.4003,329.1367,1.8602,67.3399
LORETO,858.3205,1594.2604,8737.9083,1.8574,10.9472
LORETO,890.1381,1644.6646,8776.7717,1.8477,11.2433
AYACUCHO,1248.9494,2433.9672,9686.5083,1.9488,15.0764
AYACUCHO,1182.6487,2255.229,9581.2367,1.9069,14.1228
AYACUCHO,1225.2598,1567.3992,1511.23,1.2792,62.2301
PIURA,753.4831,1614.5742,8850.1083,2.1428,10.9461
AYACUCHO,1252.9201,2451.131,9726.9433,1.9563,15.1196
PIURA,438.5886,997.2948,866.3817,2.2739,69.0662
AYACUCHO,1203.9085,1482.3148,1385.8267,1.2313,64.1775
LORETO,619.9182,1061.7724,2483.2683,1.7128,25.6542
PIURA,1.9235,5.4871,9.7317,2.8526,33.8304
AYACUCHO,69.3026,124.9315,133.035,1.8027,56.3452
AYACUCHO,71.2469,169.7853,172.7417,2.3831,58.9731
AYACUCHO,650.4495,893.9978,1100.175,1.3744,48.7558
AYACUCHO,1244.782,1710.3436,1562.8067,1.374,65.6643
AYACUCHO,146.4291,261.2381,365.5367,1.7841,42.8802
AYACUCHO,1217.7592,1612.5211,1458.9983,1.3242,66.3135
LORETO,107.0713,106.7085,136.415,0.9966,46.9341
AYACUCHO,1190.6627,1503.9915,1457.7,1.2632,61.9054
AYACUCHO,1206.0267,2317.9878,9622.78,1.922,14.4531
LORETO,905.2223,1627.9749,8765.93,1.7984,11.143
AYACUCHO,66.576,128.2458,114.6883,1.9263,67.0927
PIURA,43.6587,52.394,48.0317,1.2001,65.4493
AYACUCHO,1163.8602,2263.574,9621.4917,1.9449,14.1157
AYACUCHO,1148.4272,1603.6475,1489.7417,1.3964,64.5876
PIURA,48.9414,75.683,65.5617,1.5464,69.2627
PIURA,979.5338,1467.7072,1375.3283,1.4984,64.0301
AYACUCHO,168.8337,345.0359,342.1633,2.0436,60.5037
PIURA,142.9219,253.7099,229.865,1.7752,66.2241
LORETO,1047.447,1905.7478,12584.325,1.8194,9.0863
AYACUCHO,1120.2698,1703.393,1554.6783,1.5205,65.7394
AYACUCHO,1171.8688,1579.341,1450.7033,1.3477,65.3204
