pct_poblacion_acumulada,pct_tiempo_acumulado
0.0,0.0
2.9658897511357253e-05,0.0
0.00019377146374086737,0.0
0.0003007484108009229,0.0
0.004158436562300456,0.0
0.004269802852239714,0.0
0.004333010746529563,0.0
0.0044272289751329155,0.0
0.004469430890028167,0.0
0.004649021573804087,0.0
0.004731292166371828,0.0
0.004802526459936579,0.0
0.004877773953138781,0.0
0.004955028046159707,0.0
0.005010209541174654,0.0
0.005211872822956555,0.0
0.0053071863143460095,0.0
0.005423569103832081,0.0
0.005581087189602023,0.0
0.0058449550657644084,0.0
0.005925219058513424,0.0
0.006160994537213655,0.0
0.006607462996880051,0.0
0.00664057189388902,0.0
0.007023832459265566,0.0
0.0070739974547337,0.0
0.007090050253283503,0.0
0.007214693118206688,0.0
0.00726610187389304,0.0
0.0073220439471262805,0.0
0.00738387465964723,0.0
0.007476805871849483,0.0
0.007521294218116518,0.0
0.007535135036955152,0.0
0.007557873525047192,0.0
0.007609282280733544,0.0
0.007726929240861929,0.0
0.007814917303478955,0.0
0.00785545113007781,0.0
0.00789697358659371,0.0
0.008005722877468686,0.0
0.008037359034814133,0.0
0.008053177113486857,0.0
0.00814017654618684,0.0
0.008195548060124016,0.0
0.008273068179636061,0.0
0.008315351881188085,0.0
0.008383811207510411,0.0
0.008442140372616081,0.0
0.00857603876086416,0.0
0.008634367925969829,0.0
0.008657523286343557,0.0
0.008898957497139646,0.0
0.00908543107458378,0.0
0.009213999699032102,0.0
0.009425009273508358,0.0
0.009505088296789022,0.0
0.009554249992347793,0.0
0.009682672380746217,0.0
0.009741064159079965,0.0
0.010006119135272851,0.0
0.010033708500824527,0.0
0.010043561845664411,0.0
0.010069737470434714,0.0
0.010095913095205016,0.0
0.010153298118739907,0.0
0.010177460233912493,0.0
0.010332766084840963,0.0
0.010398209430829688,0.0
0.010666820179290881,0.0
0.010671885453748213,0.0
0.01080765597751587,0.0
0.011143483674036968,0.0
0.011183582503472324,0.0
0.011285834518532479,0.0
0.011362022294459654,0.0
0.01140212112389501,0.0
0.011444224894802133,0.0
0.011512084452308119,0.0
0.011570227754989382,0.0
0.011792313579554426,0.0
0.011813905256942694,0.0
0.011863257662401592,0.0
0.01197773286513729,0.0
0.012154697620288387,0.0
0.012329956116512067,0.0
0.012377569696410988,0.0
0.012413026617612309,0.0
0.01251730460499883,0.0
0.012540604867502558,0.0
0.012575048733812414,0.0
0.012594911207600323,0.0
0.012606054811406453,0.0
0.01263442034836751,0.0
0.01273620968462649,0.0
0.012962408209646439,0.0
0.013087541794510266,5.244215380257398e-08
0.013246441584813537,1.1903536498044572e-07
0.013272814276480636,1.3310220152984204e-07
0.013539471492225747,2.75333548862627e-07
0.15659230254663317,0.00045990671402622194
0.1566834406313234,0.000460384730256418
0.16764445565747765,0.0005973588647810228
0.1676741992946962,0.0005977324443016284
0.16770857461599847,0.0005981951931268578
0.2308064274733377,0.0014852590722914457
0.3835314204581655,0.003632349957124111
0.38397576017438145,0.003639477029635197
0.38403366846560816,0.003640455133746237
0.38422879896594164,0.0036439913744983248
0.38438096888277323,0.003646865015193066
0.38442262221505913,0.003647656375089581
0.38501186447666413,0.00365885122240613
0.3850237819609369,0.0036590815743775223
0.385079396887543,0.0036601565502440213
0.38508436250598993,0.003660252530232102
0.38521346858561134,0.0036628283505955217
