banda,poblacion,pct_poblacion
0-30,2828176.063936306,71.78
30-60,353535.50626483915,8.97
60-120,291932.52035875974,7.41
>120,416743.78850509564,10.58
sin_acceso_enrutable,49810.77507936508,1.26
