zona,t_min_medio_ponderado,poblacion_con_acceso,poblacion_sin_acceso_enrutable,n_puntos
rural,214.1884554227864,1235452.4306062162,17604.055079365076,4938
urbano,92.63611535742982,2654935.4484587843,32206.72,64
