id_demanda,instalacion_car,min_car,km_car,instalacion_foot,min_foot,km_foot,misma_instalacion,ratio_foot_car
110050,00010777,88.275,122.08510000000001,00031235,1437.9033333333332,119.49910000000001,False,16.288907769281597
110152,00003494,31.825,44.4435,00003494,509.14666666666665,42.3406,True,15.998324168630532
110183,00016148,9.025,10.152299999999999,00002021,951.9783333333332,79.1595,False,105.48236380424744
110184,00003727,158.20333333333335,208.53879999999998,00003494,1893.0733333333333,157.444,False,11.966077410926864
110194,00031235,31.48,32.4675,00002161,365.4316666666667,30.399099999999997,False,11.608375688267683
110272,00003523,158.48333333333332,136.6105,00003523,1562.6850000000002,129.9517,True,9.860248185929121
110289,00003655,13.465,11.9139,00003655,115.365,9.591299999999999,True,8.567768288154474
110356,00003792,75.26666666666667,77.09830000000001,00003792,910.3666666666667,75.7043,True,12.095217006200178
110610,00000001,126.58333333333333,101.05069999999999,,,,False,
110638,00011775,110.61,96.63889999999999,00035125,1130.7483333333332,93.9881,False,10.222840008438055
110762,00003792,39.37,30.6315,00003792,368.5183333333333,30.6315,True,9.360384387435442
110890,00010723,23.401666666666664,21.404,00010723,255.76166666666668,21.231900000000003,True,10.929207321415856
110894,00031235,109.08666666666666,116.9205,00002161,1319.7016666666668,106.8566,False,12.097735745278985
110962,00002021,3.8133333333333335,3.4893,00002021,35.56666666666667,2.9621,True,9.326923076923077
110983,00003494,51.68,38.4786,00003494,445.77833333333336,37.068599999999996,True,8.625741744066048
110989,00000001,126.31333333333333,102.29469999999999,,,,False,
111047,00000001,126.58333333333333,101.05069999999999,,,,False,
111082,00003494,271.515,211.4486,00003494,3065.05,254.8142,True,11.28869491556636
111279,00003494,20.896666666666665,21.1583,00003494,440.205,36.590199999999996,True,21.065799968096986
111319,00000066,0.0,0.0,00000066,0.0,0.0,True,
111467,00003754,21.116666666666667,21.054,00003754,199.22833333333335,16.5655,True,9.434648776637728
111559,00003494,107.29333333333334,82.27080000000001,00003494,730.1316666666667,60.7162,True,6.80500497079657
111795,00010777,117.46833333333333,140.2782,00031235,1703.1,141.5528,False,14.498375448702486
111831,00008154,21.35,19.2033,00003655,294.53333333333336,24.4911,False,13.795472287275567
112141,00003523,114.07333333333332,134.98170000000002,00003523,1580.8316666666665,131.42770000000002,True,13.858029922272221
112297,00010723,31.855,29.115099999999998,00010723,348.5816666666667,28.9305,True,10.942761471249936
112699,00003494,154.01333333333332,156.3783,00003494,1783.8833333333334,148.33620000000002,True,11.58265518136958
112735,00008154,2.881666666666667,1.0474,00008154,8.43,0.6862,True,2.9253903990746095
112741,00003727,77.13666666666667,107.92880000000001,00003494,2117.76,176.0411,False,27.45464759517739
112914,00003494,62.79833333333333,45.5079,00003598,972.9716666666667,80.8691,False,15.49359059423021
112969,00000001,81.115,53.4968,00000001,638.5416666666666,53.0241,True,7.872054079598923
