id_demanda,id_instalacion,duracion_min,distancia_km,estimado_por_fallback
680388,00010777,156.91666666666666,210.78910000000002,False
680392,00003754,451.72999999999996,389.9277,False
680417,00003494,118.36,108.67389999999999,False
680438,00015230,21.19,17.2501,False
680444,00002161,121.67666666666668,96.31269999999999,False
680477,00002161,143.76833333333335,141.6629,False
680490,00016148,55.24166666666667,47.3964,False
680492,00002161,221.25666666666666,269.1603,False
680502,00002161,255.985,208.644,False
680536,00002161,179.275,170.6209,False
680537,00010777,36.013333333333335,48.2656,False
680970,00003792,68.28833333333334,47.4144,False
680977,00003523,109.775,80.9725,False
680978,00037376,140.35666666666665,116.7397,False
680984,00003494,30.02,23.637,False
680992,00003494,194.14833333333334,155.4926,False
680993,00003494,135.90833333333333,116.7295,False
680994,00003655,184.255,153.2502,False
681002,00003494,217.68166666666667,181.47670000000002,False
681006,00003494,213.82999999999998,178.41039999999998,False
681008,00003494,236.28333333333333,194.64679999999998,False
681014,00003727,254.88166666666666,187.1763,False
681015,00003727,254.88166666666666,187.1763,False
681016,00003727,222.89833333333334,170.6716,False
681017,00003727,237.94333333333333,185.5241,False
681020,00003727,213.395,226.8544,False
681023,00003727,262.9766666666667,196.34189999999998,False
681024,00003727,116.41000000000001,94.359,False
681028,00003523,56.3,53.8264,False
681040,00003494,20.96833333333333,25.097900000000003,False
681044,00003523,116.01666666666667,84.21889999999999,False
681051,00003494,117.00333333333333,77.1995,False
681053,00003494,102.61333333333333,105.07419999999999,False
681170,00037783,346.0833333333333,312.5431,False
681178,00020274,81.35,57.5077,False
681184,00011409,4922.591666666666,415.9765,False
681186,00000066,0.0,0.0,False
681196,00011409,3865.8733333333334,325.1849,False
681199,00011409,4928.67,418.5697,False
681211,00011409,2205.233333333333,184.65179999999998,False
681213,00037783,136.195,85.39160000000001,False
681233,00000001,56.57833333333333,36.3961,False
681235,00000066,11.84,6.3898,False
681800,00003754,75.33,89.5423,False
681816,00003523,90.185,48.768,False
681867,00003494,57.22,53.9215,False
681988,00000001,81.115,53.4968,False
682171,00003523,64.78166666666667,50.582699999999996,False
682210,00003770,67.125,47.9144,False
682222,00003655,102.61833333333334,102.39489999999999,False
682238,00010723,24.265,21.9351,False
682254,00000210,1739.9183333333335,152.1286,False
682284,00010777,41.54333333333333,42.4448,False
682296,00002161,131.46833333333333,141.5518,False
682307,00002161,102.61333333333333,93.4618,False
682316,00003754,71.105,68.35260000000001,False
682329,00000066,0.0,0.0,False
682334,00000210,1729.4266666666667,147.7693,False
682342,00003792,46.02333333333333,35.485,False
682351,00002021,37.833333333333336,39.993199999999995,False
682638,00011409,4927.673333333334,418.1921,False
682658,00002161,467.335,616.1188000000001,False
682692,00000001,74.37333333333332,55.9107,False
682696,00011409,4922.591666666666,415.9765,False
